player_id,name,current_club_id,current_club_name,country_of_citizenship,country_of_birth,city_of_birth,date_of_birth,position,sub_position,foot,height_in_cm,market_value_in_eur,highest_market_value_in_eur,agent_name,contract_expiration_date,current_club_domestic_competition_id,first_name,last_name,player_code,image_url,last_season,url
134354,Ian Raeymaekers,498,Ksc Lokeren,Belgium,Belgium,Aalst  ,1995-01-30,Attack,Centre-Forward,Right,0,,50000.0,,,BE1,Ian,Raeymaekers,ian-raeymaekers,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/ian-raeymaekers/profil/spieler/134354
99946,Mohamed Camara,1095,Es Troyes Ac,Guinea,Guinea,Conakry  ,1990-09-20,Attack,Centre-Forward,Right,180,,300000.0,,,FR1,Mohamed,Camara,mohamed-camara,https://img.a.transfermarkt.technology/portrait/header/s_99946_1095_2012_1.jpg?lm=1,2012,https://www.transfermarkt.co.uk/mohamed-camara/profil/spieler/99946
76948,Pablo Olivera,979,Moreirense Fc,Uruguay,Uruguay,Melo  ,1987-12-08,Attack,Centre-Forward,Right,175,25000.0,600000.0,,,PO1,Pablo,Olivera,pablo-olivera,https://img.a.transfermarkt.technology/portrait/header/76948-1502310198.jpg?lm=1,2012,https://www.transfermarkt.co.uk/pablo-olivera/profil/spieler/76948
108372,Aliosman Aydin,38,Fortuna Dusseldorf,Turkey,Germany,Dormagen  ,1992-02-06,Attack,Centre-Forward,Right,178,,125000.0,,,L1,Aliosman,Aydin,aliosman-aydin,https://img.a.transfermarkt.technology/portrait/header/108372-1451295988.jpg?lm=1,2012,https://www.transfermarkt.co.uk/aliosman-aydin/profil/spieler/108372
78820,Jaime Alfonso Ruiz,354,Kv Mechelen,Colombia,Colombia,Cali  ,1984-01-03,Attack,Centre-Forward,Right,184,,1700000.0,,,BE1,Jaime Alfonso,Ruiz,jaime-alfonso-ruiz,https://img.a.transfermarkt.technology/portrait/header/78820-1618410262.jpg?lm=1,2012,https://www.transfermarkt.co.uk/jaime-alfonso-ruiz/profil/spieler/78820
167061,Leighton McIntosh,511,Dundee Fc,Scotland,Scotland,Dundee  ,1993-02-06,Attack,Centre-Forward,Right,185,125000.0,175000.0,,,SC1,Leighton,McIntosh,leighton-mcintosh,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/leighton-mcintosh/profil/spieler/167061
188076,Kevin Buchan,511,Dundee Fc,Scotland,Scotland,Dundee  ,1994-08-07,Attack,Centre-Forward,,0,,,,2023-06-30,SC1,Kevin,Buchan,kevin-buchan,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/kevin-buchan/profil/spieler/188076
12840,Steven Milne,511,Dundee Fc,Scotland,Scotland,Dundee  ,1980-05-05,Attack,Centre-Forward,Both,171,,500000.0,,,SC1,Steven,Milne,steven-milne,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/steven-milne/profil/spieler/12840
126278,Giannis Simosis,5219,Aok Kerkyra,Greece,Greece,Evia  ,1991-03-13,Attack,Centre-Forward,Right,182,,300000.0,,,GR1,Giannis,Simosis,giannis-simosis,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/giannis-simosis/profil/spieler/126278
139735,Giannis Gesios,5219,Aok Kerkyra,Greece,Greece,Edessa  ,1988-08-03,Attack,Centre-Forward,Both,183,125000.0,300000.0,,2023-06-30,GR1,Giannis,Gesios,giannis-gesios,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/giannis-gesios/profil/spieler/139735
39049,Kei Kamara,1123,Norwich City,Sierra Leone,Sierra Leone,Kenema  ,1984-09-01,Attack,Centre-Forward,Right,188,150000.0,1000000.0,PROSPORT Management,2023-12-31,GB1,Kei,Kamara,kei-kamara,https://img.a.transfermarkt.technology/portrait/header/39049-1586080943.jpg?lm=1,2012,https://www.transfermarkt.co.uk/kei-kamara/profil/spieler/39049
46154,Chris Martin,1123,Norwich City,Scotland,England,Beccles  ,1988-11-04,Attack,Centre-Forward,Right,184,300000.0,4500000.0,After Sports Consultancy,2023-06-30,GB1,Chris,Martin,chris-martin,https://img.a.transfermarkt.technology/portrait/header/46154-1473151837.jpg?lm=1,2012,https://www.transfermarkt.co.uk/chris-martin/profil/spieler/46154
104725,Steve Morison,1123,Norwich City,Wales,England,London  ,1983-08-29,Attack,Centre-Forward,Right,188,,3500000.0,10Ten Football,,GB1,Steve,Morison,steve-morison,https://img.a.transfermarkt.technology/portrait/header/s_104725_1028_2013_09_24_1.jpg?lm=1,2012,https://www.transfermarkt.co.uk/steve-morison/profil/spieler/104725
30471,James Vaughan,1123,Norwich City,England,England,Birmingham  ,1988-07-14,Attack,Centre-Forward,Right,181,,2000000.0,Unique Sports Group,,GB1,James,Vaughan,james-vaughan,https://img.a.transfermarkt.technology/portrait/header/s_30471_29_2009_1.jpg?lm=1,2012,https://www.transfermarkt.co.uk/james-vaughan/profil/spieler/30471
3666,Jason Roberts,1032,Fc Reading,Grenada,England,London  ,1978-01-25,Attack,Centre-Forward,Right,185,,4000000.0,First Artist Corporation Plc.,,GB1,Jason,Roberts,jason-roberts,https://img.a.transfermarkt.technology/portrait/header/s_3666_164_2009_1.jpg?lm=1,2012,https://www.transfermarkt.co.uk/jason-roberts/profil/spieler/3666
192366,Gozie Ugwu,1032,Fc Reading,England,England,Oxford  ,1993-04-22,Attack,Centre-Forward,Right,188,,250000.0,RT Management & Consultancy,2023-06-01,GB1,Gozie,Ugwu,gozie-ugwu,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/gozie-ugwu/profil/spieler/192366
12628,Noel Hunt,1032,Fc Reading,Ireland,Ireland,Waterford  ,1982-12-26,Attack,Centre-Forward,Left,173,,2250000.0,,,GB1,Noel,Hunt,noel-hunt,https://img.a.transfermarkt.technology/portrait/header/s_12628_1032_2012_1.jpg?lm=1,2012,https://www.transfermarkt.co.uk/noel-hunt/profil/spieler/12628
69653,Garath McCleary,1032,Fc Reading,Jamaica,England,Oxford  ,1987-05-15,Attack,Right Winger,Right,187,200000.0,1500000.0,SBM,,GB1,Garath,McCleary,garath-mccleary,https://img.a.transfermarkt.technology/portrait/header/69653-1596528340.jpg?lm=1,2012,https://www.transfermarkt.co.uk/garath-mccleary/profil/spieler/69653
67369,Nick Blackman,1032,Fc Reading,Barbados,England,Bury  ,1989-11-11,Attack,Centre-Forward,Left,188,300000.0,2500000.0,Wasserman,,GB1,Nick,Blackman,nick-blackman,https://img.a.transfermarkt.technology/portrait/header/s_67369_1032_2013_03_07_1.jpg?lm=1,2012,https://www.transfermarkt.co.uk/nick-blackman/profil/spieler/67369
46106,Adam Le Fondre,1032,Fc Reading,England,England,Stockport  ,1986-12-02,Attack,Centre-Forward,Right,180,500000.0,4000000.0,Football Asset Management,2023-06-30,GB1,Adam,Le Fondre,adam-le-fondre,https://img.a.transfermarkt.technology/portrait/header/46106-1646998479.jpg?lm=1,2012,https://www.transfermarkt.co.uk/adam-le-fondre/profil/spieler/46106
